file_path,class,loc,interactivity_signals,estimated_effort_hours,notes
web/src/components/admin/shell/internal/dashboard-i18n.ts,C,558,"custom-hooks:useDashboardLocale,useDashboardText | jsx-nodes:1",0.00,"custom-hooks=useDashboardLocale,useDashboardText"
web/src/components/admin/shell/internal/drawers/UpgradeModal.tsx,C,247,nav:useRouter | custom-hooks:useAdminShell | events:6 | jsx-nodes:30,0.00,nav-hooks=useRouter; custom-hooks=useAdminShell
web/src/components/admin/shell/internal/drawers/drawer-shared.tsx,C,5278,"nav:useRouter | custom-hooks:useAdminShell,useWorkspaceFieldOverrideSubscription | events:89 | jsx-nodes:344",0.00,heavy state (27 useState)
web/src/components/admin/shell/internal/drawers/light-01.tsx,C,695,"nav:useRouter | custom-hooks:useAdminShell,useQueuedRouterRefresh | events:24 | jsx-nodes:111",0.00,heavy state (7 useState)
web/src/components/admin/shell/internal/drawers/light-02.tsx,C,353,"nav:useRouter | custom-hooks:useAdminShell | events:8 | browser:navigator,window | jsx-nodes:44",0.00,heavy state (6 useState)
web/src/components/admin/shell/internal/drawers/light-03.tsx,C,686,nav:useRouter | custom-hooks:useAdminShell | events:17 | jsx-nodes:103,0.00,heavy state (12 useState)
web/src/components/admin/shell/internal/drawers/light-04.tsx,C,646,"nav:useRouter | custom-hooks:useAdminShell,useQueuedRouterRefresh | events:43 | browser:FileReader | jsx-nodes:122",0.00,heavy state (16 useState)
web/src/components/admin/shell/internal/drawers/light-05.tsx,C,757,"nav:useRouter | custom-hooks:useAdminShell,useQueuedRouterRefresh,useSaveAndClose | events:30 | browser:navigator | jsx-nodes:117",0.00,heavy state (14 useState)
web/src/components/admin/shell/internal/drawers/light-06.tsx,C,783,"nav:useRouter | custom-hooks:useAdminShell,useQueuedRouterRefresh,useSaveAndClose | events:33 | jsx-nodes:103",0.00,heavy state (11 useState)
web/src/components/admin/shell/internal/drawers/light-07.tsx,C,752,nav:useRouter | custom-hooks:useAdminShell | events:25 | jsx-nodes:87,0.00,heavy state (4 useState)
web/src/components/admin/shell/internal/drawers/light-08.tsx,C,449,"nav:useRouter | custom-hooks:useAdminShell,useQueuedRouterRefresh | events:25 | jsx-nodes:65",0.00,heavy state (11 useState)
web/src/components/admin/shell/internal/drawers/light-09.tsx,C,397,nav:useRouter | custom-hooks:useAdminShell | events:12 | jsx-nodes:54,0.00,heavy state (7 useState)
web/src/components/admin/shell/internal/drawers/light-10.tsx,C,678,nav:useRouter | custom-hooks:useAdminShell | events:24 | jsx-nodes:86,0.00,heavy state (13 useState)
web/src/components/admin/shell/internal/drawers/light-11.tsx,C,703,nav:useRouter | custom-hooks:useAdminShell | events:29 | browser:window | jsx-nodes:128,0.00,heavy state (10 useState)
web/src/components/admin/shell/internal/drawers/light-12.tsx,C,768,nav:useRouter | custom-hooks:useAdminShell | events:17 | jsx-nodes:77,0.00,heavy state (6 useState)
web/src/components/admin/shell/internal/drawers/light-13.tsx,C,770,nav:useRouter | custom-hooks:useAdminShell | events:45 | jsx-nodes:123,0.00,heavy state (14 useState)
web/src/components/admin/shell/internal/drawers/light-14.tsx,C,776,"nav:useRouter | custom-hooks:useAdminShell,useQueuedRouterRefresh,useSaveAndClose | events:41 | jsx-nodes:109",0.00,heavy state (4 useState)
web/src/components/admin/shell/internal/drawers/light-15.tsx,C,728,nav:useRouter | custom-hooks:useAdminShell | events:42 | jsx-nodes:184,0.00,heavy state (8 useState)
web/src/components/admin/shell/internal/drawers/light-16.tsx,C,761,nav:useRouter | custom-hooks:useAdminShell | events:25 | jsx-nodes:141,0.00,heavy state (8 useState)
web/src/components/admin/shell/internal/drawers/light-17.tsx,C,756,nav:useRouter | custom-hooks:useAdminShell | events:29 | jsx-nodes:120,0.00,heavy state (11 useState)
web/src/components/admin/shell/internal/drawers/light-18.tsx,C,730,"nav:useRouter | custom-hooks:useAdminShell,useSaveAndClose | events:31 | jsx-nodes:117",0.00,heavy state (16 useState)
web/src/components/admin/shell/internal/drawers/light-19.tsx,C,718,nav:useRouter | custom-hooks:useAdminShell | jsx-nodes:3,0.00,nav-hooks=useRouter; custom-hooks=useAdminShell
web/src/components/admin/shell/internal/drawers/light-20.tsx,C,706,nav:useRouter | custom-hooks:useAdminShell | events:40 | browser:navigator | jsx-nodes:167,0.00,heavy state (17 useState)
web/src/components/admin/shell/internal/drawers/light-21.tsx,C,760,nav:useRouter | custom-hooks:useAdminShell | events:45 | jsx-nodes:218,0.00,heavy state (21 useState)
web/src/components/admin/shell/internal/drawers/light-22.tsx,C,591,nav:useRouter | custom-hooks:useAdminShell | events:32 | jsx-nodes:174,0.00,heavy state (13 useState)
web/src/components/admin/shell/internal/drawers/light-23.tsx,C,532,nav:useRouter | custom-hooks:useAdminShell | events:20 | jsx-nodes:109,0.00,heavy state (9 useState)
web/src/components/admin/shell/internal/drawers/profile-shell/TalentProfileShellDrawer.tsx,C,3718,"nav:useRouter | custom-hooks:useAdminShell,useDashboardText,useLiveTaxonomy,useQueuedRouterRefresh | events:69 | browser:document,localStorage,window | jsx-nodes:190",0.00,heavy state (28 useState)
web/src/components/admin/shell/internal/drawers/profile-shell/profile-shell-internal.tsx,C,7521,"nav:useRouter | custom-hooks:useAdminShell,useDashboardText | events:55 | browser:navigator | jsx-nodes:285",0.00,heavy state (14 useState)
web/src/components/admin/shell/internal/drawers.tsx,C,626,custom-hooks:useAdminShell | events:1 | jsx-nodes:237,0.00,custom-hooks=useAdminShell
web/src/components/admin/shell/internal/guided-tour.tsx,C,253,"react:useEffect,useRef,useState | events:3 | browser:document,localStorage,sessionStorage,window | jsx-nodes:23",0.00,"react-hooks=useEffect,useRef,useState; browser=document,localStorage,sessionStorage,window"
web/src/components/admin/shell/internal/help.tsx,C,3181,"react:useEffect,useState | custom-hooks:useAdminShell | events:18 | browser:localStorage,window | jsx-nodes:49",0.00,large file (3181 LOC) — too coarse for island extraction
